Name,Year,Letterboxd URI
10 Things I Hate About You,1999,https://letterboxd.com/film/10-things-i-hate-about-you/
2046,2004,https://letterboxd.com/film/2046/
21 Grams,2003,https://letterboxd.com/film/21-grams/
24 Frames,2017,https://letterboxd.com/film/24-frames/
25th Hour,2002,https://letterboxd.com/film/25th-hour/
3 Women,1977,https://letterboxd.com/film/3-women/
30 Days of Night,2007,https://letterboxd.com/film/30-days-of-night/
37 Seconds,2019,https://letterboxd.com/film/37-seconds/
"4 Months, 3 Weeks and 2 Days",2007,https://letterboxd.com/film/4-months-3-weeks-and-2-days/
8½,1963,https://letterboxd.com/film/8-half/
A Bride for Rip Van Winkle,2016,https://letterboxd.com/film/a-bride-for-rip-van-winkle/
A Bucket of Blood,1959,https://letterboxd.com/film/a-bucket-of-blood/
A Chinese Ghost Story,1987,https://letterboxd.com/film/a-chinese-ghost-story/
A Fish Called Wanda,1988,https://letterboxd.com/film/a-fish-called-wanda/
A Friend to Die For,1994,https://letterboxd.com/film/a-friend-to-die-for/
A Love Song,2022,https://letterboxd.com/film/a-love-song/
A New Life,2002,https://letterboxd.com/film/a-new-life/
A River Runs Through It,1992,https://letterboxd.com/film/a-river-runs-through-it/
A Room with a View,1986,https://letterboxd.com/film/a-room-with-a-view/
A Scanner Darkly,2006,https://letterboxd.com/film/a-scanner-darkly/
A Special Day,1977,https://letterboxd.com/film/a-special-day/
A Very Long Engagement,2004,https://letterboxd.com/film/a-very-long-engagement/
Ace in the Hole,1951,https://letterboxd.com/film/ace-in-the-hole/
Alex of Venice,2014,https://letterboxd.com/film/alex-of-venice/
Ali: Fear Eats the Soul,1974,https://letterboxd.com/film/ali-fear-eats-the-soul/
Alice in the Cities,1974,https://letterboxd.com/film/alice-in-the-cities/
All About My Mother,1999,https://letterboxd.com/film/all-about-my-mother/
All Quiet on the Western Front,2022,https://letterboxd.com/film/all-quiet-on-the-western-front-2022/
All That Jazz,1979,https://letterboxd.com/film/all-that-jazz/
All the President's Men,1976,https://letterboxd.com/film/all-the-presidents-men/
Altered States,1980,https://letterboxd.com/film/altered-states/
Amateur,1994,https://letterboxd.com/film/amateur/
American Graffiti,1973,https://letterboxd.com/film/american-graffiti/
Amores Perros,2000,https://letterboxd.com/film/amores-perros/
An American in Paris,1951,https://letterboxd.com/film/an-american-in-paris/
An Autumn Afternoon,1962,https://letterboxd.com/film/an-autumn-afternoon/
An Education,2009,https://letterboxd.com/film/an-education/
An Elephant Sitting Still,2018,https://letterboxd.com/film/an-elephant-sitting-still/
Angels in America,2003,https://letterboxd.com/film/angels-in-america/
Antitrust,2001,https://letterboxd.com/film/antitrust/
April and the Extraordinary World,2015,https://letterboxd.com/film/april-and-the-extraordinary-world/
Armageddon,1998,https://letterboxd.com/film/armageddon/
Arsenic and Old Lace,1944,https://letterboxd.com/film/arsenic-and-old-lace/
Atlantis: The Lost Empire,2001,https://letterboxd.com/film/atlantis-the-lost-empire/
August: Osage County,2013,https://letterboxd.com/film/august-osage-county/
Ava's Possessions,2015,https://letterboxd.com/film/avas-possessions/
Babette's Feast,1987,https://letterboxd.com/film/babettes-feast/
Badlands,1973,https://letterboxd.com/film/badlands/
Barbara,2012,https://letterboxd.com/film/barbara/
Basic Instinct,1992,https://letterboxd.com/film/basic-instinct/
Beanpole,2019,https://letterboxd.com/film/beanpole/
Beast,2017,https://letterboxd.com/film/beast-2017/
Beau Travail,1999,https://letterboxd.com/film/beau-travail/
Begin Again,2013,https://letterboxd.com/film/begin-again/
Belle de Jour,1967,https://letterboxd.com/film/belle-de-jour/
