Name,Year,Letterboxd URI
20th Century Women,2016,https://letterboxd.com/film/20th-century-women/
42nd Street,1933,https://letterboxd.com/film/42nd-street/
5 Centimeters per Second,2007,https://letterboxd.com/film/5-centimeters-per-second/
A Sound of Thunder,2005,https://letterboxd.com/film/a-sound-of-thunder/
A Useful Ghost,2025,https://letterboxd.com/film/a-useful-ghost/
All We Imagine as Light,2024,https://letterboxd.com/film/all-we-imagine-as-light/
All of Us Strangers,2023,https://letterboxd.com/film/all-of-us-strangers/
All the Way,2016,https://letterboxd.com/film/all-the-way-2016/
Allegro non troppo,1976,https://letterboxd.com/film/allegro-non-troppo/
American Graffiti,1973,https://letterboxd.com/film/american-graffiti/
American Pop,1981,https://letterboxd.com/film/american-pop/
Amélie,2001,https://letterboxd.com/film/amelie/
An American in Paris,1951,https://letterboxd.com/film/an-american-in-paris/
Annihilation,2018,https://letterboxd.com/film/annihilation/
Azur & Asmar: The Princes' Quest,2006,https://letterboxd.com/film/azur-asmar-the-princes-quest/
Barb & Star Go to Vista Del Mar,2021,https://letterboxd.com/film/barb-star-go-to-vista-del-mar/
Beginners,2010,https://letterboxd.com/film/beginners/
Belladonna of Sadness,1973,https://letterboxd.com/film/belladonna-of-sadness/
Blindspotting,2018,https://letterboxd.com/film/blindspotting/
Blue Giant,2023,https://letterboxd.com/film/blue-giant/
Bones and All,2022,https://letterboxd.com/film/bones-and-all/
Boy,2010,https://letterboxd.com/film/boy-2010/
Brazil,1985,https://letterboxd.com/film/brazil/
Breathe,2014,https://letterboxd.com/film/breathe-2014/
Brick,2005,https://letterboxd.com/film/brick/
Buffet Infinity,2025,https://letterboxd.com/film/buffet-infinity/
Bullet Ballet,1998,https://letterboxd.com/film/bullet-ballet/
Cheatin',2013,https://letterboxd.com/film/cheatin/
Chi-Raq,2015,https://letterboxd.com/film/chi-raq/
Chie the Brat,1981,https://letterboxd.com/film/chie-the-brat/
Children of the Sea,2019,https://letterboxd.com/film/children-of-the-sea/
Clue,1985,https://letterboxd.com/film/clue/
Cosmic Princess Kaguya!,2026,https://letterboxd.com/film/cosmic-princess-kaguya/
Cyrano,2021,https://letterboxd.com/film/cyrano-2021/
Dawn of the Dead,1978,https://letterboxd.com/film/dawn-of-the-dead/
Dead Dead Demon's Dededede Destruction Part 1,2024,https://letterboxd.com/film/dead-dead-demons-dededede-destruction-part-1/
Deep Sea,2023,https://letterboxd.com/film/deep-sea/
Devil Girl from Mars,1954,https://letterboxd.com/film/devil-girl-from-mars/
Dinosaur Hotel 3,2024,https://letterboxd.com/film/dinosaur-hotel-3/
Dirty Dancing,1987,https://letterboxd.com/film/dirty-dancing/
Doubt,2008,https://letterboxd.com/film/doubt/
Dracula,1958,https://letterboxd.com/film/dracula-1958/
Duck Soup,1933,https://letterboxd.com/film/duck-soup-1933/
Eagle vs Shark,2007,https://letterboxd.com/film/eagle-vs-shark/
Eegah,1962,https://letterboxd.com/film/eegah/
Eternity and a Day,1998,https://letterboxd.com/film/eternity-and-a-day/
Everybody Wants Some!!,2016,https://letterboxd.com/film/everybody-wants-some/
Evil Demon Golfball from Hell!!!,1997,https://letterboxd.com/film/evil-demon-golfball-from-hell/
Falling in Love Like in Movies,2023,https://letterboxd.com/film/falling-in-love-like-in-movies/
Farewell My Concubine,1993,https://letterboxd.com/film/farewell-my-concubine/
Felidae,1994,https://letterboxd.com/film/felidae/
Female,1933,https://letterboxd.com/film/female-1933/
Fiddler on the Roof,1971,https://letterboxd.com/film/fiddler-on-the-roof/
First Cow,2019,https://letterboxd.com/film/first-cow/
First Reformed,2017,https://letterboxd.com/film/first-reformed/
Frankenstein,2022,https://letterboxd.com/film/frankenstein-2022/
Frankenstein's Daughter,1958,https://letterboxd.com/film/frankensteins-daughter/
