Name,Year,Letterboxd URI
31,2016,https://letterboxd.com/film/31-2016/
A Little Princess,1995,https://letterboxd.com/film/a-little-princess-1995/
A Midsummer Night's Dream,1935,https://letterboxd.com/film/a-midsummer-nights-dream/
Amadeus,1984,https://letterboxd.com/film/amadeus/
Amélie,2001,https://letterboxd.com/film/amelie/
And When She Was Bad...,1973,https://letterboxd.com/film/and-when-she-was-bad/
Anna,2013,https://letterboxd.com/film/anna-2013-1/
Assassination Nation,2018,https://letterboxd.com/film/assassination-nation/
Battle Royale,2000,https://letterboxd.com/film/battle-royale/
Beach Party,1963,https://letterboxd.com/film/beach-party/
Brick,2005,https://letterboxd.com/film/brick/
Casper,1995,https://letterboxd.com/film/casper/
Castle in the Sky,1986,https://letterboxd.com/film/castle-in-the-sky/
Cruel Intentions,1999,https://letterboxd.com/film/cruel-intentions/
Dinosaur,2000,https://letterboxd.com/film/dinosaur/
Dirt,1965,https://letterboxd.com/film/dirt-1965/
Drop Dead Fred,1991,https://letterboxd.com/film/drop-dead-fred/
Fantastic Mr. Fox,2009,https://letterboxd.com/film/fantastic-mr-fox/
Ferris Bueller's Day Off,1986,https://letterboxd.com/film/ferris-buellers-day-off/
Foodfight!,2012,https://letterboxd.com/film/foodfight/
Frank,2014,https://letterboxd.com/film/frank-2014/
Goodbye Christopher Robin,2017,https://letterboxd.com/film/goodbye-christopher-robin/
Grey Gardens,1975,https://letterboxd.com/film/grey-gardens/
Howl's Moving Castle,2004,https://letterboxd.com/film/howls-moving-castle/
"I, a Man",1967,https://letterboxd.com/film/i-a-man/
Inglourious Basterds,2009,https://letterboxd.com/film/inglourious-basterds/
Into the Wild,2007,https://letterboxd.com/film/into-the-wild/
It Happened in Hollywood,1973,https://letterboxd.com/film/it-happened-in-hollywood-1973/
Jojo Rabbit,2019,https://letterboxd.com/film/jojo-rabbit/
Little Women,1994,https://letterboxd.com/film/little-women-1994/
Mermaids,1990,https://letterboxd.com/film/mermaids/
Monty Python and the Holy Grail,1975,https://letterboxd.com/film/monty-python-and-the-holy-grail/
Moulin Rouge!,2001,https://letterboxd.com/film/moulin-rouge-2001/
Pagan Moon,1931,https://letterboxd.com/film/pagan-moon/
Pan's Labyrinth,2006,https://letterboxd.com/film/pans-labyrinth/
Party Monster,2003,https://letterboxd.com/film/party-monster/
Picnic at Hanging Rock,1975,https://letterboxd.com/film/picnic-at-hanging-rock/
ReMastered: Devil at the Crossroads,2019,https://letterboxd.com/film/remastered-devil-at-the-crossroads/
Ready or Not,2019,https://letterboxd.com/film/ready-or-not-2019/
"Scream, Queen! My Nightmare on Elm Street",2019,https://letterboxd.com/film/scream-queen-my-nightmare-on-elm-street/
Sky Captain and the World of Tomorrow,2004,https://letterboxd.com/film/sky-captain-and-the-world-of-tomorrow/
Sleepy Hollow,1999,https://letterboxd.com/film/sleepy-hollow/
So Dear to My Heart,1948,https://letterboxd.com/film/so-dear-to-my-heart/
Stand by Me,1986,https://letterboxd.com/film/stand-by-me/
Suspiria,2018,https://letterboxd.com/film/suspiria-2018/
The Bloodsucker Leads the Dance,1975,https://letterboxd.com/film/the-bloodsucker-leads-the-dance/
The Brave Little Toaster,1987,https://letterboxd.com/film/the-brave-little-toaster/
The Cat Returns,2002,https://letterboxd.com/film/the-cat-returns/
The Final Girls,2015,https://letterboxd.com/film/the-final-girls/
The Holy Mountain,1973,https://letterboxd.com/film/the-holy-mountain/
The NeverEnding Story,1984,https://letterboxd.com/film/the-neverending-story/
The Nun,2018,https://letterboxd.com/film/the-nun-2018/
The Others,2001,https://letterboxd.com/film/the-others/
The Princess Bride,1987,https://letterboxd.com/film/the-princess-bride/
The Secret Garden,1993,https://letterboxd.com/film/the-secret-garden-1993/
The Sixth Sense,1999,https://letterboxd.com/film/the-sixth-sense/
They Shall Not Grow Old,2018,https://letterboxd.com/film/they-shall-not-grow-old/
Trash,1970,https://letterboxd.com/film/trash/
Troop Beverly Hills,1989,https://letterboxd.com/film/troop-beverly-hills/
Tuck Everlasting,2002,https://letterboxd.com/film/tuck-everlasting/
Unsane,2018,https://letterboxd.com/film/unsane/
Voyage of the Damned,1976,https://letterboxd.com/film/voyage-of-the-damned/
Watership Down,1978,https://letterboxd.com/film/watership-down/
We Have Always Lived in the Castle,2018,https://letterboxd.com/film/we-have-always-lived-in-the-castle/
Welcome to the Dollhouse,1995,https://letterboxd.com/film/welcome-to-the-dollhouse/
Whip It,2009,https://letterboxd.com/film/whip-it/
Women in Revolt,1971,https://letterboxd.com/film/women-in-revolt/
Young Frankenstein,1974,https://letterboxd.com/film/young-frankenstein/
Zenon: Girl of the 21st Century,1999,https://letterboxd.com/film/zenon-girl-of-the-21st-century/
